State,ExpensiveProcedure,MaxCost,CheapestProcedure,MinCost
"HI	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.027864642432888574	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0011466115807769659"
"ID	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.023649981582043088	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0009731810782228453"
"IL	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.0031094878514216144	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0001279533656070571"
"IN	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.0060011928142289835	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00024694510958980727"
"IA	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.012698605573177342	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0005225392087837629"
"KS	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.013691872393834945	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0005634114805924007"
"KY	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.008971481464619806	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00036917052026899416"
"LA	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.008502577928455385	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00034987545032046287"
"ME	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.029896250710675875	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0012302109158311922"
"MD	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.006616235462557886	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0002722537072129115"
"MA	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.005843734801143725	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00024046581663908942"
"MI	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.004009370184220864	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0001649829275908262"
"MN	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.007211336257996447	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0002967417107974852"
"MS	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.013318795366319965	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0005480596080068899"
"MO	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.006533108485146891	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0002688330871491876"
"MT	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.03818270153090589	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0015711928787936922"
"NE	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.02087247445881635	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0008588884997032168"
"NV	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.013539266912421457	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0005571318661060428"
"NH	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.029821980154255898	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0012271547316254556"
"NJ	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.004450373744936675	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00018312993202838535"
"NM	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.01912827634591774	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.000787115902576387"
"NY	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.002015986192959749	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	8.295649661040667e-05"
"NC	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.003923037516896973	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0001614303955103822"
"ND	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.052518140990458505	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.002161086717892426"
"OH	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.003427324918874226	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00014103215042258417"
"OK	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.010145434211421717	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00041747789826639624"
"OR	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.00972433622859851	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00040014999517523663"
"PA	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.0031136986225291526	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00012812663604925038"
"RI	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.03768009306851593	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0015505108734544587"
"SC	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.008023639424895876	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00033016744810999293"
"SD	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.045994622475602404	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0018926482516690663"
"TN	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.005984824679598881	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.000246271571690737"
"TX	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.0014286619236771765	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	5.8788491926595785e-05"
"UT	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.013046017376017505	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0005368349743725208"
"VT	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.06373136789658562	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0026225035783244794"
"VA	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.004732184804978906	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00019472627049975464"
"WA	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.005461886663007684	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0002247530186608123"
"WV	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.021738947366121603	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0008945432859556704"
"WI	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.006888430770338284	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00028345436384742055"
"WY	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.06798661317401679	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0027976041031526847"
